USDA Certificate Type	cert_num	cert_status	name	dba	cust_num	city	state
FEDERAL RESEARCH FACILITY	84-F-0009	ACTIVE	DEPT. OF AIR FORCE	U. S. AIR FORCE ACADEMY	1214	AIR FORCE ACADEMY	CO
FEDERAL RESEARCH FACILITY	85-F-0002	ACTIVE	LOS ALAMOS NATIONAL LABORATORY		1206	LOS ALAMOS	NM
FEDERAL RESEARCH FACILITY	85-F-0003	ACTIVE	ALAMOGORDO PRIMATE FACILITY		16855	HOLLOMAN AFB	NM
FEDERAL RESEARCH FACILITY	91-F-0001	ACTIVE	NATIONAL MARINE MAMMALS LABS/A F S C, N M F S	ALASKA FISHERIES	1207	SEATTLE	WA
FEDERAL RESEARCH FACILITY	91-F-0002	ACTIVE	DEPT. OF CLINICAL INVESTIGATIONS	Madigan Army Medical Center	1212	TACOMA	WA
FEDERAL RESEARCH FACILITY	92-F-0004	ACTIVE	U S D A - FORESTRY AND RANGE SCIENCES LAB	STARKEY DEER & ELK RES. & DEV.	1262	LA GRANDE	OR
FEDERAL RESEARCH FACILITY	93-F-0001	ACTIVE	LAWRENCE BERKELEY NATIONAL LABORATORY		1198	BERKELEY	CA
FEDERAL RESEARCH FACILITY	93-F-0005	ACTIVE	NAVAL WARFARE SYSTEMS CENTER PACIFIC		1199	SAN DIEGO	CA
FEDERAL RESEARCH FACILITY	93-F-0006	ACTIVE	N.A.S.A.	AMES RESEARCH CENTER	1200	MOFFETT FIELD	CA
FEDERAL RESEARCH FACILITY	93-F-0006	ACTIVE	N.A.S.A.	AMES RESEARCH CENTER	1200	MOUNTAIN VIEW	CA
FEDERAL RESEARCH FACILITY	93-F-0008	ACTIVE	NAVAL MEDICAL CENTER	DIVISION OF ANIMAL RESOURCE	1202	SAN DIEGO	CA
FEDERAL RESEARCH FACILITY	93-F-0018	ACTIVE	LAWRENCE LIVERMORE NATIONAL LABORATORY		1245	LIVERMORE	CA
FEDERAL RESEARCH FACILITY	93-F-0022	ACTIVE	60TH MEDICAL GROUP (A M C), M D S S/S G S E		1204	TRAVIS AFB	CA
FEDERAL RESEARCH FACILITY	95-F-0001	ACTIVE	TRIPLER ARMY MEDICAL CENTER		1205	TRIPLER ARMY HOSPITAL	HI
RESEARCH FACILITY	10-R-0001	ACTIVE	MEDSTAR HEALTH RESEARCH INSTITUTE	WASHINGTON HOSPITAL CENTER	66	WASHINGTON	DC
RESEARCH FACILITY	10-R-0004	ACTIVE	GEORGETOWN UNIVERSITY		69	WASHINGTON	DC
RESEARCH FACILITY	10-R-0005	ACTIVE	THE GEORGE WASHINGTON UNIVERSITY		70	WASHINGTON	DC
RESEARCH FACILITY	10-R-0006	CANCELLED	NATIONAL FOOD PROCESSORS ASSOCIATION		72	WASHINGTON	DC
RESEARCH FACILITY	10-R-0009	CANCELLED	HOWARD UNIVERSITY COLLEGE OF MEDICINE		74	WASHINGTON	DC
RESEARCH FACILITY	10-R-0011	ACTIVE	CHILDRENS NATIONAL MEDICAL CENTER	CHILDRENS RESEARCH INSTITUTE	59	WASHINGTON	DC
RESEARCH FACILITY	11-R-0002	ACTIVE	MAINE MEDICAL CENTER		71	SCARBOROUGH	ME
RESEARCH FACILITY	11-R-0006	ACTIVE	UNIVERSITY OF MAINE		75	ORONO	ME
RESEARCH FACILITY	11-R-0012	ACTIVE	BUSHOVER'S BIOLOGICALS, INC.		68	VASSALBORO	ME
RESEARCH FACILITY	11-R-0014	ACTIVE	COLBY COLLEGE		77	WATERVILLE	ME
RESEARCH FACILITY	11-R-0015	ACTIVE	DIAMED INC		78	WINDHAM	ME
RESEARCH FACILITY	11-R-0016	CANCELLED	IMMUCELL CORPORATION		103	PORTLAND	ME
RESEARCH FACILITY	11-R-0024	ACTIVE	CAPRICORN PRODUCTS LLC		20676	PORTLAND	ME
RESEARCH FACILITY	11-R-0025	ACTIVE	UNIVERSITY OF NEW ENGLAND		31083	BIDDEFORD	ME
RESEARCH FACILITY	11-R-0026	ACTIVE	UNIVERSITY OF SOUTHERN MAINE (USM)		36939	PORTLAND	ME
RESEARCH FACILITY	11-R-0027	ACTIVE	THOMAS WALSH	CATS PAW FARM	39947	NORTH BERWICK	ME
RESEARCH FACILITY	11-R-0028	CANCELLED	UNIVERSITY OF MAINE AT AUGUSTA		10590	BANGOR	ME
RESEARCH FACILITY	11-R-0029	CANCELLED	BATES COLLEGE		327249	LEWISTON	ME
RESEARCH FACILITY	11-R-0030	ACTIVE	BIODIVERSITY RESEARCH INSTITUTE		331430	PORTLAND	ME
RESEARCH FACILITY	11-R-0031	ACTIVE	YORK COUNTY COMMUNITY COLLEGE		332398	WELLS	ME
RESEARCH FACILITY	12-R-0001	ACTIVE	TRUSTEES OF DARTMOUTH COLLEGE		166	HANOVER	NH
RESEARCH FACILITY	12-R-0003	ACTIVE	UNIVERSITY OF NEW HAMPSHIRE		167	DURHAM	NH
RESEARCH FACILITY	13-R-0001	ACTIVE	UNIVERSITY OF VERMONT	STATE AGRICULTURAL COLLEGE	273	BURLINGTON	VT
RESEARCH FACILITY	13-R-0009	ACTIVE	VERMONT TECHNICAL COLLEGE		265	RANDOLPH CENTER	VT
RESEARCH FACILITY	13-R-0010	ACTIVE	MIDDLEBURY COLLEGE		9011	MIDDLEBURY	VT
RESEARCH FACILITY	13-R-0011	ACTIVE	THE BINDING SITE VT INC		14681	BENSON	VT
RESEARCH FACILITY	13-R-0014	ACTIVE	CATAMOUNT RESEARCH & DEVELOPMENT INC		45318	SAINT ALBANS	VT
RESEARCH FACILITY	14-R-0003	ACTIVE	DANA-FARBER CANCER INSTITUTE		100	BOSTON	MA
RESEARCH FACILITY	14-R-0004	ACTIVE	PINE ACRES RABBITRY/FARM		101	NORTON	MA
RESEARCH FACILITY	14-R-0010	ACTIVE	THE SCHEPENS EYE RESEARCH INSTITUTE		106	BOSTON	MA
RESEARCH FACILITY	14-R-0013	ACTIVE	GENE SYS RESEARCH INSTITUTE		99	BOSTON	MA
RESEARCH FACILITY	14-R-0014	ACTIVE	GENERAL HOSPITAL CORPORATION	MASSACHUSETTS GENERAL HOSPITAL	108	CHARLESTOWN	MA
RESEARCH FACILITY	14-R-0016	ACTIVE	L C F FOUNDATION INC	LAHEY  MEDICAL CENTER	110	BURLINGTON	MA
RESEARCH FACILITY	14-R-0017	ACTIVE	BOSTON UNIVERSITY		112	BOSTON	MA
RESEARCH FACILITY	14-R-0018	ACTIVE	MASSACHUSETTS INSTITUTE OF TECHNOLOGY	OFFICE OF THE VICE PRESIDENT FOR RESEARCH	114	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0019	ACTIVE	HARVARD MEDICAL SCHOOL		107	BOSTON	MA
RESEARCH FACILITY	14-R-0020	ACTIVE	CHILDRENS HOSPITAL BOSTON	JOHN ENDERS PEDIATRIC RESEARCH	117	BOSTON	MA
RESEARCH FACILITY	14-R-0021	ACTIVE	NORTHEASTERN UNIVERSITY		118	BOSTON	MA
RESEARCH FACILITY	14-R-0022	ACTIVE	MASSACHUSETTS EYE AND EAR INFIRMARY		119	BOSTON	MA
RESEARCH FACILITY	14-R-0025	ACTIVE	HOLYOKE COMMUNITY COLLEGE		121	HOLYOKE	MA
RESEARCH FACILITY	14-R-0027	ACTIVE	CELLDEX THERAPEUTICS		123	NEEDHAM	MA
RESEARCH FACILITY	14-R-0029	ACTIVE	NEW ENGLAND AQUARIUM		125	BOSTON	MA
RESEARCH FACILITY	14-R-0030	ACTIVE	BRANDEIS UNIVERSITY	OFFICE OF SPONSORED PROGRAMS	126	WALTHAM	MA
RESEARCH FACILITY	14-R-0031	ACTIVE	SANOFI PASTEUR BIOLOGICS CO		127	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0032	ACTIVE	SHRINERS HOSPITAL FOR CHILDREN-BOSTON		514	BOSTON	MA
RESEARCH FACILITY	14-R-0035	ACTIVE	UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL		130	WORCESTER	MA
RESEARCH FACILITY	14-R-0036	ACTIVE	UNIVERSITY OF MASSACHUSETTS AMHERST		515	AMHERST	MA
RESEARCH FACILITY	14-R-0041	ACTIVE	BECKER COLLEGE		133	WORCESTER	MA
RESEARCH FACILITY	14-R-0042	ACTIVE	CYTOGEN RESEARCH & DEVELOPMENT INC		122	WEST ROXBURY	MA
RESEARCH FACILITY	14-R-0047	ACTIVE	ARIAD PHARMACEUTICALS INC		455	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0061	ACTIVE	SMITH COLLEGE		136	NORTHAMPTON	MA
RESEARCH FACILITY	14-R-0062	CANCELLED	ROBERT MCALLISTER SR.	MILLBROOK IMMUNOSERV	534	AMHERST	MA
RESEARCH FACILITY	14-R-0065	ACTIVE	TUFTS UNIVERSITY	SCHOOL OF VETERINARY MEDICINE	628	NORTH GRAFTON	MA
RESEARCH FACILITY	14-R-0066	ACTIVE	EMBRYOTECH LABORATORIES INC		721	HAVERHILL	MA
RESEARCH FACILITY	14-R-0074	CANCELLED	REVO BIOLOGICS INC		756	FRAMINGHAM	MA
RESEARCH FACILITY	14-R-0079	CANCELLED	TAKEDA CAMBRIDGE U S		760	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0081	ACTIVE	UNIVERSITY OF MASSACHUSETTS	LOWELL RESEARCH FOUNDATION	139	LOWELL	MA
RESEARCH FACILITY	14-R-0082	ACTIVE	TUFTS MEDICAL CENTER 		140	BOSTON	MA
RESEARCH FACILITY	14-R-0083	CANCELLED	NEW ENGLAND COLLEGE OF OPTOMETRY		705	BOSTON	MA
RESEARCH FACILITY	14-R-0084	ACTIVE	TUFTS UNIVERSITY		141	BOSTON	MA
RESEARCH FACILITY	14-R-0089	CANCELLED	BOSTON BIOMEDICAL RESEARCH INSTITUTE		516	WATERTOWN	MA
RESEARCH FACILITY	14-R-0090	ACTIVE	MOUNT IDA COLLEGE		134	NEWTON	MA
RESEARCH FACILITY	14-R-0092	ACTIVE	BRIGHAM AND WOMENS HOSPITAL		144	BOSTON	MA
RESEARCH FACILITY	14-R-0094	ACTIVE	WELLESLEY COLLEGE		145	WELLESLEY	MA
RESEARCH FACILITY	14-R-0096	ACTIVE	MCLEAN HOSPITAL CORPORATION		146	BELMONT	MA
RESEARCH FACILITY	14-R-0101	ACTIVE	TOXIKON CORPORATION		147	BEDFORD	MA
RESEARCH FACILITY	14-R-0114	ACTIVE	MOUNT HOLYOKE COLLEGE		1792	SOUTH HADLEY	MA
RESEARCH FACILITY	14-R-0119	ACTIVE	MARINE BIOLOGICAL LABORATORY		143	WOODS HOLE	MA
RESEARCH FACILITY	14-R-0123	ACTIVE	GENZYME CORPORATION		154	FRAMINGHAM	MA
RESEARCH FACILITY	14-R-0128	ACTIVE	HARVARD UNIVERSITY		156	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0135	ACTIVE	ABBVIE BIORESEARCH CENTER		159	WORCESTER	MA
RESEARCH FACILITY	14-R-0138	ACTIVE	BETH ISRAEL DEACONESS MEDICAL CENTER		1664	BOSTON	MA
RESEARCH FACILITY	14-R-0144	ACTIVE	CHARLES RIVER LABORATORIES INC		1799	WILMINGTON	MA
RESEARCH FACILITY	14-R-0148	ACTIVE	DA VINCI BIOMEDICAL RESEARCH PRODUCTS INC		9446	SOUTH LANCASTER	MA
RESEARCH FACILITY	14-R-0156	ACTIVE	CAPRALOGICS INC		749	HARDWICK	MA
RESEARCH FACILITY	14-R-0157	ACTIVE	CELL SIGNALING TECHNOLOGY, INC.		14167	DANVERS	MA
RESEARCH FACILITY	14-R-0159	CANCELLED	LANTHEUS MEDICAL IMAGING INC		16296	NORTH BILLERICA	MA
RESEARCH FACILITY	14-R-0160	ACTIVE	TGA SCIENCES INC		10943	MEDFORD	MA
RESEARCH FACILITY	14-R-0164	ACTIVE	NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH INC		21373	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0165	CANCELLED	PARATEK		10803	BOSTON	MA
RESEARCH FACILITY	14-R-0168	ACTIVE	BIOMODELS AND AFFILIATES		26617	WATERTOWN	MA
RESEARCH FACILITY	14-R-0173	ACTIVE	MOMENTA PHARMACEUTICALS		31312	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0177	ACTIVE	WHEATON COLLEGE		151	NORTON	MA
RESEARCH FACILITY	14-R-0181	ACTIVE	JOSLIN DIABETES CENTER INC	ELLIOTT P JOSLIN RESEARCH LAB	128	BOSTON	MA
RESEARCH FACILITY	14-R-0182	ACTIVE	VERTEX PHARMACEUTICALS INC		1788	BOSTON	MA
RESEARCH FACILITY	14-R-0183	ACTIVE	CBSET INC		38804	LEXINGTON	MA
RESEARCH FACILITY	14-R-0185	CANCELLED	VIVISOURCE LABORATORIES INC		39472	WALTHAM	MA
RESEARCH FACILITY	14-R-0186	ACTIVE	FORSYTH DENTAL INFIRMARY FOR CHILDREN		131	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0189	ACTIVE	GL SYNTHESIS INC		40799	WORCESTER	MA
RESEARCH FACILITY	14-R-0192	ACTIVE	BIOMEDICAL RESEARCH MODELS INC		23918	WORCESTER	MA
RESEARCH FACILITY	14-R-0193	CANCELLED	BUTTONWOOD PARK ZOO		11495	NEW BEDFORD	MA
RESEARCH FACILITY	14-R-0194	ACTIVE	ENANTA PHARMACEUTICALS		30224	WATERTOWN	MA
RESEARCH FACILITY	14-R-0195	ACTIVE	 E M D MILLIPORE CORPORATION		321736	RAMONA	CA
RESEARCH FACILITY	14-R-0196	ACTIVE	BAYSTATE MEDICAL CENTER		148	SPRINGFIELD	MA
RESEARCH FACILITY	14-R-0197	CANCELLED	COYOTE CONSULTING COMPANY INC		26120	DOUGLAS	MA
RESEARCH FACILITY	14-R-0198	CANCELLED	WORCESTER STATE UNIVERSITY		38062	WORCESTER	MA
RESEARCH FACILITY	14-R-0199	CANCELLED	VIVOPATH LLC		323725	WORCESTER	MA
RESEARCH FACILITY	14-R-0200	ACTIVE	ACCURO FARMS INC		40933	SOUTHBRIDGE	MA
RESEARCH FACILITY	14-R-0201	CANCELLED	BIOGEN IDEC INC		1105	CAMBRIDGE	MA
RESEARCH FACILITY	14-R-0202	CANCELLED	EISAI INC		518	ANDOVER	MA
RESEARCH FACILITY	14-R-0203	ACTIVE	TRANSMEDICS INC		30932	ANDOVER	MA
RESEARCH FACILITY	14-R-0204	ACTIVE	AGILUX LABORATORIES		327248	WORCESTER	MA
RESEARCH FACILITY	14-R-0205	CANCELLED	ASTRA ZENECA PHARMACEUTICALS		42	WALTHAM	MA
RESEARCH FACILITY	14-R-0206	CANCELLED	VIVISOURCE LABORATORIES INC		39472	WALTHAM	MA
RESEARCH FACILITY	14-R-0207	ACTIVE	PERKIN ELMER INC	CALIPER	330154	HOPKINTON	MA
RESEARCH FACILITY	14-R-0208	ACTIVE	STEPHEN PURDY D V M	CAMELID IMMUNOGENICS	330562	BELCHERTOWN	MA
RESEARCH FACILITY	14-R-0209	ACTIVE	EISAI INC		331861	ANDOVER	MA
RESEARCH FACILITY	14-R-0210	ACTIVE	L  F  B   U  S  A   INC		331982	FRAMINGHAM	MA
RESEARCH FACILITY	15-R-0002	ACTIVE	RHODE ISLAND HOSPITAL		266	PROVIDENCE	RI
RESEARCH FACILITY	15-R-0003	ACTIVE	BROWN UNIVERSITY		267	PROVIDENCE	RI
RESEARCH FACILITY	15-R-0004	ACTIVE	UNIVERSITY OF RHODE ISLAND		268	KINGSTON	RI
RESEARCH FACILITY	15-R-0010	ACTIVE	RHODE ISLAND COLLEGE		261	PROVIDENCE	RI
RESEARCH FACILITY	15-R-0014	ACTIVE	ETHIDE LABORATORIES INC		272	WEST WARWICK	RI
RESEARCH FACILITY	15-R-0021	ACTIVE	VERO SCIENCE LLC		33144	TIVERTON	RI
RESEARCH FACILITY	15-R-0022	ACTIVE	NEW ENGLAND INSTITUTE OF TECHNOLOGY		327689	EAST GREENWICH	RI
RESEARCH FACILITY	16-R-0001	ACTIVE	YALE UNIVERSITY		48	NEW HAVEN	CT
RESEARCH FACILITY	16-R-0007	ACTIVE	HARTFORD HOSPITAL		51	HARTFORD	CT
RESEARCH FACILITY	16-R-0008	ACTIVE	UNIVERSITY OF CONNECTICUT		52	STORRS	CT
RESEARCH FACILITY	16-R-0015	ACTIVE	TRINITY COLLEGE		812	HARTFORD	CT
RESEARCH FACILITY	16-R-0017	ACTIVE	CONNECTICUT COLLEGE		39	NEW LONDON	CT
RESEARCH FACILITY	16-R-0025	ACTIVE	UCONN HEALTH CENTER		44	FARMINGTON	CT
RESEARCH FACILITY	16-R-0026	ACTIVE	QUINNIPIAC UNIVERSITY		46	HAMDEN	CT
RESEARCH FACILITY	16-R-0029	ACTIVE	BOEHRINGER INGELHEIM PHARMACEUTICALS INC		55	RIDGEFIELD	CT
RESEARCH FACILITY	16-R-0031	ACTIVE	SEA RESEARCH FOUNDATION INC	MYSTIC  AQUARIUM	56	MYSTIC	CT
RESEARCH FACILITY	16-R-0039	ACTIVE	THE C T AGRICULTURE EXPERIMENT STATION		61	NEW HAVEN	CT
RESEARCH FACILITY	16-R-0040	ACTIVE	NORTHWESTERN C T COMMUNITY COLLEGE		10301	WINSTED	CT
RESEARCH FACILITY	16-R-0049	ACTIVE	COVIDIEN L P		41906	NORTH HAVEN	CT
RESEARCH FACILITY	16-R-0050	CANCELLED	BELLWETHER FARM INC		42768	EAST WOODSTOCK	CT
RESEARCH FACILITY	16-R-0051	ACTIVE	FAIRFIELD UNIVERSITY		322034	FAIRFIELD	CT
RESEARCH FACILITY	16-R-0053	CANCELLED	SOUTHERN CONNECTICUT STATE UNIVERSITY		326289	NEW HAVEN	CT
RESEARCH FACILITY	16-R-0054	ACTIVE	MIDDLESEX COMMUNITY COLLEGE		330567	MIDDLETOWN	CT
RESEARCH FACILITY	16-R-0055	ACTIVE	NORWALK COMMUNITY COLLEGE		331921	NORWALK	CT
RESEARCH FACILITY	21-R-0008	ACTIVE	NEW YORK BLOOD CENTER INC		287	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0012	ACTIVE	ST JOHNS UNIVERSITY		288	JAMAICA	NY
RESEARCH FACILITY	21-R-0013	ACTIVE	STATE UNIVERSITY OF NEW YORK	COLLEGE OF TECHNOLOGY / CANTON	282	CANTON	NY
RESEARCH FACILITY	21-R-0017	ACTIVE	MASONIC MEDICAL RESEARCH LABORATORY		291	UTICA	NY
RESEARCH FACILITY	21-R-0018	ACTIVE	REGENERON PHARMACEUTICALS INC		292	TARRYTOWN	NY
RESEARCH FACILITY	21-R-0019	ACTIVE	NELCO VET LLC		293	DEER PARK	NY
RESEARCH FACILITY	21-R-0021	ACTIVE	STATE UNIVERSITY OF NEW YORK	SUNY DOWNSTATE MEDICAL CENTER	294	BROOKLYN	NY
RESEARCH FACILITY	21-R-0024	ACTIVE	STATE UNIVERSITY OF NEW YORK	COLLEGE OF ENVIR. SCIENCE	295	SYRACUSE	NY
RESEARCH FACILITY	21-R-0030	ACTIVE	UNION COLLEGE		302	SCHENECTADY	NY
RESEARCH FACILITY	21-R-0037	ACTIVE	STATE UNIVERSITY OF NEW YORK	UPSTATE MEDICAL UNIVERSITY	308	SYRACUSE	NY
RESEARCH FACILITY	21-R-0039	ACTIVE	STONY BROOK UNIVERSITY		298	STONY BROOK	NY
RESEARCH FACILITY	21-R-0040	ACTIVE	MOUNT SINAI SCHOOL OF MEDICINE		312	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0043	ACTIVE	STATE UNIVERSITY OF NEW YORK	COLLEGE OF PLATTSBURGH	315	PLATTSBURGH	NY
RESEARCH FACILITY	21-R-0046	CANCELLED	CANISIUS COLLEGE		304	BUFFALO	NY
RESEARCH FACILITY	21-R-0049	ACTIVE	WINTHROP UNIVERSITY		318	MINEOLA	NY
RESEARCH FACILITY	21-R-0051	ACTIVE	STATE UNIVERSITY OF NEW YORK	SCHOOL OF MEDICINE AT BUFFALO	389	BUFFALO	NY
RESEARCH FACILITY	21-R-0053	ACTIVE	SUNY COLLEGE OF TECHNOLOGY		390	DELHI	NY
RESEARCH FACILITY	21-R-0058	ACTIVE	LONG ISLAND UNIVERSITY		319	GREENVALE	NY
RESEARCH FACILITY	21-R-0059	ACTIVE	BROOKDALE UNIVERSITY HOSPITAL & MEDICAL CENTER		310	BROOKLYN	NY
RESEARCH FACILITY	21-R-0060	ACTIVE	NEW YORK MEDICAL COLLEGE		311	VALHALLA	NY
RESEARCH FACILITY	21-R-0061	CANCELLED	HOBART AND WILLIAM SMITH COLLEGES		322	GENEVA	NY
RESEARCH FACILITY	21-R-0065	ACTIVE	STATE UNIVERSITY OF NEW YORK	UNIVERSITY AT ALBANY	393	ALBANY	NY
RESEARCH FACILITY	21-R-0071	CANCELLED	ST LUKES - ROOSEVELT	INSTITUTE FOR HEALTH SCIENCES	324	NEW YORK	NY
RESEARCH FACILITY	21-R-0072	ACTIVE	MEMORIAL SLOAN-KETTERING CANCER CENTER		326	NEW YORK	NY
RESEARCH FACILITY	21-R-0077	ACTIVE	LEHMAN COLLEGE		433	NEW YORK -BRONX	NY
RESEARCH FACILITY	21-R-0078	ACTIVE	CITY COLLEGE/MEDICAL SCHOOL OF CUNY, THE		435	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0080	ACTIVE	N Y INSTITUTE FOR BASIC RESEARCH IN D D		449	STATEN ISLAND	NY
RESEARCH FACILITY	21-R-0081	ACTIVE	MONTEFIORE MEDICAL CENTER		333	BRONX	NY
RESEARCH FACILITY	21-R-0082	ACTIVE	COLUMBIA UNIVERSITY		445	NEW YORK NEW YORK	NY
